strong	gloss
H0001	far
H0006	gå til grunde
H0014	ville, ønske, akceptere
H0034	fattig, undertrykt
H0047	stærk, magtfuld
H0049	Abishag
H0054	Ebjatar
H0061	sandelig; men, imidlertid
H0068	sten
H0073	bælte
H0074	Abner
H0083	vinge
H0085	Abraham
H0086	Hil dig? (uvist)
H0087	Abram
H0098	dam, sø med siv
H0101	skål
H0106	næve
H0108	kilde, tåge
H0113	herre
H0117	mægtig; fornemme (n pl)
H0120	mand, menneske
H0123	Edom
H0127	jord
H0134	fodstykke, sokkel
H0136	Herre
H0138	Adonija
H0155	Kappe, herlighed
H0157	elske
H0162	ak, åh
H0165	hvor
H0168	telt
H0175	Aron
H0176	eller, eller endog
H0181	brændeknude, træstump
H0183	ønske, længes efter, have lyst til
H0188	ve!
H0190	ve!
H0194	måske
H0199	dog, på den anden side
H0205	ondskab, uretfærdighed
H0215	være lys
H0216	lys
H0218	Ur
H0226	tegn
H0227	da; dengang, eftersom
H0231	ysop
H0241	øre
H0247	spænde bælte om
H0251	ak, åh
H0256	Ahab
H0259	en, engang
H0269	søster
H0270	gribe, tage fat i
H0271	Akaz
H0272	ejendom, jord
H0305	hvis blot
H0309	sinke, blive bagved
H0310	efter, bagved, bagside
H0312	en anden
H0314	sidst, bagerst; til sidst
H0319	ende, fremtid
H0322	baglæns
H0339	hvordan dog (interj)
H0341	være en fjende af
H0342	fjendskab
H0346	hvor
H0347	Job
H0349	hvordan (exclam), hvor (interr)
H0352	vædder, handyr af fåreslægten, leder
H0360	styrke; hjælp
H0365	hind
H0367	rædsel
H0369	der er ikke, ikke-eksistens
H0371	hvor (interr)
H0375	hvor (interr)
H0376	mand, menneske, væsen, en eller anden, alle
H0389	virkelig, kun, imidlertid
H0398	spise, fortære
H0400	mad
H0402	mad
H0403	visselig, virkelig
H0408	ikke
H0413	Gud, gud, Den Mægtige
H0428	disse
H0430	Gud, guder, gud
H0436	eg, terebinte
H0451	fedthale
H0452	Elias
H0461	Eliezer
H0464	Elifaz
H0480	ve
H0483	stum
H0490	enke
H0499	Eleazar
H0505	tusind
H0517	mor
H0518	hvis, da (adv), så (adv)
H0519	tjenestepige, slavinde, tjenerinde, underdanig kvinde (ANE høflighed)
H0520	alen, underarm (mål)
H0530	troskab, trofasthed
H0531	Amos
H0533	stærk
H0536	svag, faldefærdig
H0539	stå fast, være tro imod, være pålidelig
H0543	visselig, amen
H0546	virkelig (emph)
H0552	virkelig, sandelige (emph)
H0553	være stærk
H0559	sige, tænke
H0567	amorittisk
H0571	sandhed, troværdighed, stabilitet
H0573	Ammitai
H0575	hvor, hvorfra (interr)
H0577	dog, venligst (emph)
H0579	lade ske, tillade at det sker
H0585	suk, stønnen
H0587	vi
H0589	jeg
H0591	skib
H0595	jeg
H0599	være vred
H0611	ulykke, dødsfald
H0622	samle
H0639	næse, vrede, næsebor
H0645	så, derfor
H0657	ende, intethed (n), uden (adv)
H0665	aske, støv
H0669	Efraim
H0676	finger, tå
H0681	ved siden af, side
H0702	fire
H0727	ark, kiste
H0730	cedertræ
H0734	sti, vej
H0738	løve
H0745	løve
H0748	gøre lang, forlænge
H0750	sen, lang
H0758	Aram
H0776	jord, land, territorie
H0779	forbande
H0784	ild
H0802	kvinde, hustru
H0804	Assyrien, assyrisk; Assur
H0817	skyldoffer, skyld, fejl
H0834	som (rel); at, så at, fordi (konj)
H0835	lykke, glæde
H0853	OM; objektsmarkør
H0859	du
H0864	I
H0875	brønd, grube
H0887	stinke
H0894	Babylon, Babel
H0899	tøj
H0905	alene, bærestænger, skud
H0914	skille fra, gøre forskel
H0916	bedellium
H0922	tom, øde
H0926	være skræmt, være rædselsslagen
H0929	husdyr, kvæg
H0935	komme, ankomme, gå ind
H0953	cisterne, grube, vandtank
H0954	skamme sig
H0959	foragte
H0970	ung mand
H0980	Bahurim
H0982	stole på
H0990	mave, bug
H0994	vær venlig at
H0996	mellem, interval (n)
H0998	indsigt
H1004	hus, familie
H1008	Betel
H1058	græde
H1060	førstefødte
H1065	gråd, græden
H1077	ikke
H1085	Bildad
H1097	uden
H1101	forvirre
H1104	sluge
H1115	ikke (neg biltî)
H1116	kulthøj
H1121	Benajahu, Benaja
H1129	bygge
H1141	Benaja
H1157	bag, til fordel for
H1167	ejer, ægtemand; Baal
H1197	brænde, afgræsse
H1219	være umulig, være utilgængelig
H1234	kløve
H1237	slette, dal
H1241	køer, okse, kvæg
H1242	morgen
H1245	søge
H1247	søn
H1254	skabe
H1265	enebærtræ, fyrretræ
H1270	jern
H1271	Barzillaj
H1272	flygte
H1280	portslå, tværlægte
H1285	pagt, aftale
H1288	velsigne
H1293	velsigne
H1295	dam
H1300	lyn
H1316	Basan
H1320	kød
H1323	datter
H1327	kløft
H1330	ung pige, jomfru
H1334	skære i stykker, halvere
H1335	del
H1346	majestæt, ophøjethed
H1347	storhed, stolthed
H1350	løskøbe
H1361	være høj
H1364	høj
H1366	grænse, territorie
H1368	kriger, stormand
H1379	afspærre, sætte grænse
H1389	bakke, kulthøj
H1391	Gibeon
H1397	stærk mand, ung mand
H1419	stor
H1431	blive stor
H1433	storhed
H1469	turteldue, ung fugl
H1471	folk, nation
H1478	dø, udånde
H1481	frygte, være bange for
H1486	lod, udlodning, lodkastning
H1494	klippe, skære af
H1503	rodskud
H1506	stykke
H1512	bug
H1516	dal
H1518	bryde frem
H1521	Gihon
H1530	bølge
H1540	afdække, åbenbare, rejse bort
H1548	barbere
H1556	rulle
H1558	takket være, for skyld, på grund af
H1567	Gilead
H1568	Gilead
H1569	gileaditisk
H1571	også, i sandhed
H1580	handle, vænne af med at die
H1581	kamel
H1588	have
H1589	stjæle
H1606	trussel, bebrejdelse
H1610	som single, krop
H1612	vintræ
H1616	fremmed
H1617	Gera
H1622	girgashit
H1623	skrabe sig selv
H1639	formindske
H1644	drive ud, formene adgang
H1665	gittit (term.)
H1682	bi
H1692	holde sig til, klæbe til
H1696	tale
H1697	ord, ting, gerning
H1706	honning
H1709	fisk
H1710	fisk
H1715	korn
H1732	David
H1747	tavshed
H1748	tyst, i stilhed
H1749	voks
H1755	generation, slægtsled, livstid, alder
H1767	tilstrækkelig, nødvendig forsyning
H1777	blive i
H1800	hjælpeløs, fattig
H1805	spand
H1817	dør
H1818	blod
H1819	sammenligne med, overveje
H1823	lighed. form
H1831	most, hvad der presses eller drypper ud
H1832	tårer
H1834	Damaskus
H1847	viden, kundskab
H1851	tynd, mager, fin
H1852	forhæng (?), slør (?)
H1863	tidsel
H1869	træde på
H1870	vej, rejse, skik
H1875	søge, spørge om
H1877	grønt græs
H1878	fed, den fede
H1887	her er, se bare, værsgo
H1889	ah
H1897	mumle, kurre
H1920	skubbe
H1921	ære
H1926	udsmykning
H1929	ak
H1930	ve
H1931	han
H1949	være i forvirring
H1961	være, blive til, forekomme
H1973	videre, der hen
H1975	der henne
H1976	der henne
H1980	gå, vandre
H1984	prise
H1988	hertil
H1992	hemmelige kunster
H1993	larme, brøle
H2005	se, se bare (udråb), her er jeg (med suffiks)
H2007	her, nu
H2015	ødelægges, vendes rundt
H2022	bjerg, bjergland
H2026	myrde, dræbe
H2029	gravid
H2032	graviditet
H2040	rive ned
H2063	denne, dette
H2070	fluer
H2076	slagte, ofre
H2077	slagtoffer
H2088	denne, dette
H2090	denne, dette
H2091	guld
H2098	denne, som
H2100	flyde
H2102	blive ophidset, behandle groft
H2108	undtagen
H2114	fremmed, forbudt, underlig
H2120	Zohelet
H2132	oliven, oliventræ
H2135	være ren, være ulastelig
H2142	huske
H2143	errindring, minde
H2145	mand
H2161	planlægge, udtænke
H2167	lovprise, synge
H2173	spil, musik
H2180	hale, ende
H2181	være utro, have sex uden for ægteskab
H2188	sved
H2196	være bekymret
H2197	rase
H2199	råbe
H2204	være gammel
H2205	gammel, ældre person
H2206	skæg
H2220	arm, underarm
H2224	skinne, stå op
H2232	så
H2233	frø, efterkommer
H2236	stænke på, strø, sprede
H2239	håndfuld, ½ alen, ca. 25 cm
H2244	skjule sig, være skjult
H2250	sår, flænge
H2254	tage pant
H2259	sømand
H2275	Hebron
H2280	sadle, binde, forbinde
H2284	græshopper
H2290	lændeklæde, bælte
H2294	Haggit
H2296	spænde bælte, binde lændeklæde omkring sig
H2308	ophøre med
H2310	tab, ophør
H2313	Tigris
H2315	kammer, soveværelse
H2319	ny, frisk, fornyet
H2320	måned, nymåne
H2329	hvælv, cirkel
H2332	Eva
H2340	hivvitter
H2341	Havila
H2342	fødes, komme til at bæve
H2344	sand, mudder
H2346	mur
H2347	bekymre sig om, vise barmhjertighed
H2351	uden for, udenfor, uden (adv), gade (n),
H2363	haste, skynde sig
H2368	segl, signetring
H2372	se, forstå, stirre
H2373	bryststykke
H2388	være stærk, blive stærk
H2389	stærk, høj
H2390	stærk
H2394	styrke
H2398	synde, blive skyldig, ramme forbi
H2399	synd, skyld, fejl
H2400	synder, syndig
H2416	liv; livstid (pl)
H2421	være i live, leve, komme til kræfterve
H2428	styrke, rigdom, hær
H2436	bryst, skød
H2449	være vis, handle klogt
H2450	vis, dygtig
H2451	visdom, evner, erfaring
H2460	fedt, det bedste
H2461	mælk
H2470	være syg, være svag
H2472	drøm
H2483	sygdom
H2485	fløjte
H2486	langtfra, det kan umuligt være sådan at
H2490	begynde
H2498	passere forbi, følge efter
H2502	befri, plydre
H2503	lænd
H2505	sprede
H2526	Kam
H2529	surmælk
H2530	begære, have lyst til
H2534	vrede, gift
H2543	æselhoppe
H2549	femte
H2555	vold, uret
H2563	mørtel, ler
H2564	tjære, asfalt
H2568	fem
H2580	anerkendelse, påskønnelse, overbærenhed, nåde, ynde
H2583	slå lejr
H2587	nåde, imødekommende
H2595	spyd, kastespyd
H2600	uden vederlag
H2603	være nådig mod, være imødekommende
H2617	loyalitet, venlighed, trofasthed, kærlighed
H2620	søge tilflugt
H2623	from, trofast, hengiven, loyal
H2624	stork
H2637	lade savne
H2648	skynde sig væk
H2654	have lyst til, glæde sig over
H2656	lyst, glæde, begær
H2658	grave, søge efter
H2670	frigivet
H2671	pil, lyn
H2672	udhugge
H2673	dele
H2677	halvdel, midte
H2682	græs
H2689	trumpet
H2691	beboelse, indhegning, gårdsplads
H2706	forordning, lov, bestemmelse, vejledning
H2708	bestemmelse, forordning, sædvane
H2710	indgravere, udhugge
H2714	undersøgelse, eftersøgning
H2719	sværd, dolk
H2722	Horeb
H2729	bæve, ryste
H2734	være vred, blive varm (om næse)
H2740	vrede, raseri
H2748	mirakelmager, varselstagere
H2750	være, raseri
H2759	gloende, brændende (om vind)
H2771	Karan
H2781	vanære, irettesættelse
H2789	ler, potteskår
H2795	døv
H2796	håndværker, kunstner
H2803	beregne, regne for, anse, vurdere
H2820	skåne, holde tilbage
H2821	formørke
H2822	mørke
H2825	mørke
H2850	hittitter
H2854	svøb, bånd til svøb omkring spædbørn
H2859	svigerfar
H2860	brudgom, svigersøn, slægtning
H2864	bryde igennem, ro
H2865	rystes, gribes af rædsel
H2870	Tab’al
H2875	slagtning
H2883	synke ned i
H2889	ren, renset
H2891	være ren, være renset
H2896	god, godhed
H2898	godhed, det bedste
H2903	tegn, fylakterier
H2904	kaste
H2930	være uren
H2940	smag, dekret
H2962	endnu ikke (neg)
H2963	sønderrive, rive i stykker
H2964	bytte, mad
H2966	kadaver, dyr sønderrevet af rovdyr
H2975	Nilen, Eufrat, stor flod
H2981	afgrøde
H2983	Jebusit
H3001	være tør, visne
H3004	landjord, det tørre land
H3006	landjord, det tørre land
H3015	sorg
H3021	være træt
H3027	hånd, kraft, monument
H3034	takke, prise
H3045	vide, kende, bemærke, lære
H3050	Jah, JHVH, Herren
H3051	kom nu! giv!
H3058	Jehu
H3063	Juda
H3068	JHWH, JHVH, Jahve, HERREN
H3077	Jojada
H3091	Josva
H3092	Joshafat
H3097	Joab
H3104	vædderhorn, jubelår
H3117	dag
H3119	om dagen
H3126	skud
H3129	Jonatan
H3130	Josef
H3138	efterårsregn, tidlig regn
H3147	Jotam
H3162	sammen, samtidig
H3173	kun, alene
H3179	være i brunst
H3190	være god, gå godt
H3196	vin, druk
H3198	irettesætte
H3201	kunne, være i stand til
H3205	føde, få afkom, blive far
H3206	dreng, barn, ung mand
H3220	hav, vest
H3225	højre hånd, syd, højre side
H3228	-jaminit, benjaminit
H3238	undertrykke
H3243	amme, die
H3254	tilføje, fortsætte
H3256	lære sig selv
H3259	udpege, bestemme til
H3278	bjergged
H3282	fordi, på grund af
H3287	træt
H3289	rådgive, råde
H3290	Jakob
H3293	skov, tykning
H3303	smuk, flot, ret
H3305	Jafo
H3315	Jafet
H3318	gå ud
H3320	stille sig op, stå fast, ankomme
H3324	olivenolie
H3327	Isak
H3335	forme
H3336	planer, forehavender
H3364	være vågen, vågne op
H3372	bange for, angst (adj)
H3374	frygt, gudsfrygt
H3379	Jeroboam
H3381	gå ned
H3383	Jordan
H3384	undervise, instruere i
H3389	Jerusalem
H3394	måne
H3407	forhæng
H3411	fjernliggende, bagerst, nederst
H3414	Jeremias
H3418	planter, det grønne
H3423	tage i eje, arve, tage ejendom fra
H3426	der er
H3427	sidde, dvæle, bebo
H3444	frelse, udfrielse
H3462	søvn
H3467	frelse
H3474	udjævne, rette op, gå lige
H3476	moral, retskaffenhed
H3477	ret, retskaffen, ordentlig
H3478	Israel
H3483	retskaffenhed
H3490	forældreløs
H3498	efterlades
H3499	overflod, det der levnes
H3503	Jetro
H3508	leverlap
H3511	lidelse
H3513	æres, være rig, tung
H3515	lever, spådom ud fra leveren
H3519	ære, herlighed, rigdom, ejendele
H3526	valke,  rengøre tøj
H3533	underlægge sig
H3536	ovn
H3541	således, det følgende
H3548	præst
H3555	brandsår
H3556	stjerne
H3557	tage
H3559	blive rejst, stå fast
H3568	Kush, Nubien
H3581	styrke, magt
H3588	for, at, så snart, selv om, ja sandelig
H3602	sådan
H3605	alle, enhver; helhed
H3611	hund
H3627	beholder, redskab
H3629	nyre
H3632	hel, fuld, heloffer
H3644	ligesom
H3648	vækkes til live
H3651	således, det forudgående
H3658	lyre
H3667	Kana'an
H3669	kanaanæer
H3671	vinge, ende, kant
H3678	trone, tronstol
H3680	tilgive, skjule
H3682	dække, tøj
H3690	tillid
H3701	sølv, penge
H3707	ærgrelse, vrede
H3709	hånd, håndflade
H3715	ungløve
H3718	dobbelt
H3722	sone, skabe forsoning
H3724	bestikkelse
H3727	låg, sonedække
H3738	udgrave
H3742	kerub
H3754	vingård
H3766	knæle
H3772	skære af, slutte pagt
H3774	kretisk
H3778	Kaldæa, kaldæisk
H3782	snuble
H3784	øve troldom
H3789	skrive
H3801	kjortel, tunika
H3803	omringe
H3807	male, knuse, findele
H3808	ikke (neg), nej
H3816	folk
H3820	hjerte, det inderste
H3824	hjerte, indre
H3827	flamme, (usikker)
H3830	tøj, klæding
H3835	fremstille lertegl
H3837	Laban
H3843	lertegl
H3844	Libanon
H3847	tage tøj på, iføre sig
H3857	brænde, fortære
H3858	flamme
H3860	derfor
H3863	hvis blot
H3867	udlåne
H3871	tavle
H3876	Lot
H3878	Levit
H3882	Livjatan
H3885	overnatte
H3898	føre krig, kæmpe
H3899	brød, mad
H3905	presse, undertrykke
H3909	hemmelige kunster, troldom
H3915	nat
H3925	lære
H3940	fakkel, lyn
H3947	tage, gribe
H3950	samle
H3956	sprog, tunge
H3966	meget (adv), magt (n)
H3967	hundrede, to hundrede (du)
H3972	noget overhovedet
H3974	lampe, lyslegeme
H3976	vægt, vægtskåle
H3978	føde
H3979	kniv
H3985	nægte, vægre sig ved
H3988	foragte, afvise
H3996	indgang
H4026	tårn
H4033	ophold i udland, borgerrettigheder og beskyttelse i det fremmede
H4043	skjold
H4057	ørken, steppe, græsningsareal
H4058	måle
H4069	hvorfor
H4080	Midjan
H4100	hvad (interr), hvorledes (interr)
H4109	dagsrejse
H4120	hurtigt (adv), hast (n)
H4124	Moab
H4127	ryste, bølge, smelte
H4131	vakle
H4132	vaklen
H4138	efterkommere, oprindelse
H4139	omskærelse
H4146	grundvold
H4148	opdragelse, irettesættelse, forbedring
H4149	bånd
H4150	højtid, aftalt sted, sæson
H4159	tegn, varsel
H4171	bæver, giver efter
H4176	More, lærer (betydning III)
H4179	Moria
H4181	ejendom
H4191	dø
H4194	død
H4196	alter
H4201	dørstolpe, karm
H4209	plan,
H4210	salme
H4211	beskærekniv
H4229	tørre af, fjerne
H4236	syn
H4237	bjælkebugt, krumning opad på skibsdæk
H4264	lejr, hær
H4266	Mahanajim
H4268	tilflugtssted
H4279	i morgen
H4283	næste dag
H4284	tanke, plan, idé
H4294	stav, stamme, pil, scepter
H4296	seng
H4305	give regn
H4306	regn
H4310	hvem (interr)
H4325	vand, vande
H4327	art, slags
H4334	slette
H4349	sted, fundament
H4370	bukser
H4373	beløb
H4374	dække
H4376	sælge
H4393	fylde, overflod
H4395	overflod, fylde
H4397	budbringer, engel
H4399	arbejde, beskæftigelse, opgave
H4405	ord, budskab
H4410	kongedømme, kongelighed
H4411	herberge
H4419	sømand, søfolk
H4421	kamp, krig
H4422	undslippe
H4428	konge
H4456	forårsregn, senregn
H4461	mål
H4467	kongerige
H4468	kongerige
H4475	herredømme, magt
H4478	hvad
H4480	fra, ud fra, på grund af (præp); end (komp, supp)
H4487	tælles, regnes
H4503	gave, kornoffer, afgift
H4513	tilbageholde
H4519	Manasse
H4529	få til at smelte, opløse, væde
H4535	ellers
H4546	vej, hovedvej
